additionalInfo,address,city,description,district,flatFloor,floorsCount,house,price,remoteness,remotenessType,roomsNumber,squareKitchen,squareLive,squareTotal,street,underground
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012122. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 111,1 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на Центральную часть столицы и на деловой центр Москва - Сити. Большой выбор свободных парковочных мест в подземном паргинге.ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,38,50,д.8,73 796 420,,,4,,,"111,1",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012117. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 98,8 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 2 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на гольф-клуб и на МГУ.",район Раменки,31,50,д.8,48 282 235,,,3,,,"98,8",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012124. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 140 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на центральную часть Москвы. Большой выбор свободных парковочных мест в подземном паргинге",район Раменки,12,50,д.8,95 782 572,,,4,,,140,Мосфильмовская ул.,м. Парк Победы
,"Москва, район Останкинский, 2-я Новоостанкинская ул., 6",Москва,"БЕЗ КОМИССИИ для покупателя. Стильная четырехкомнатная квартира в комплексе ""Коралловые острова"" в историческом районе Москвы. Выполнен качественный ремонт. Просторная кухня, оснащенная встроенной техникой, отделена от гостиной изящной дверью-слайдером. Предусмотрена функциональная гардеробная и гостевая уборная. Установлены теплые полы. Окна выходят во двор, на Останкинскую башню и парк. Работает консьерж, во дворе детская площадка. Рядом работают школы, детские сады, супермаркеты, аптеки, отделения банков. Неподалеку расположись телецентр Останкино, музей космонавтики, парк Останкино и Космопарк. В шаговой доступности метро ""ВДНХ"". Удобный выезд на проспект Мира.",район Останкинский,11,16,д.6,28 700 000,13,пешком,4,20,"64,9","116,2",2-я Новоостанкинская ул.,м. ВДНХ
,"Москва, район Раменки, ул. Косыгина, 19",Москва,"Номер объекта: 011981. В Клубном доме МОНОЛИТ предлагается пентхаус общей площадью 475 кв.м. Планировка включает большую гостиную с дровяным камином, столовую, кухню, кабинет, две спальни. Каждая спальня имеет свой санузел и гардеробную комнату,гостевой санузел, постирочную. Из окон пентхауса открывается великолепные виды на здание МГУ.",район Раменки,6,6,д.19,355 027 680,,,,,,475,ул. Косыгина,м. Воробьевы горы
,"Москва, район Хамовники, ул. Усачева, 2С1",Москва,"Номер объекта: Ф0097. Трехкомнатная квартира 140 кв.м с отделкой в стиле современной класики. Гостиная с выделеной кухонной зоной площадью 50 кв.м., две спальни 25 и 21 кв.м со своими санузлами и гардеробной комнатой, постирочная. Квартира ориентирована на 2 стороны, вид из окон во внутренний двор. Квартира оборудована современной системой кондиционирования и вентиляции, на кухне установлена мебель немецкой марки Nolte Kchen , холодильник Либхер с винным шкафом, в ванных коматах сантехника Villeroy & Boch.",район Хамовники,2,11,д.2С1,141 703 296,,,3,,,140,ул. Усачева,м. Фрунзенская
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: ЗА0367. Односторонняя трехкомнатная квартира в малоэтажной секции, без ремонта, без отделки. Великолепные панорамные виды на центр города.",район Раменки,16,50,д.8,66 423 420,,,3,,,138,Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012140. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 107,2 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 2 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на гольф-клуб. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,11,50,д.8,45 000 000,,,3,,,"107,2",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012137. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 150,3 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 4 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на гольф-клуб. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,8,50,д.8,51 000 000,,,5,,,"150,3",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Головинский, Кронштадтский бул., 6к4",Москва,"СРОЧНО продается светлая, видовая квартира (не апартамент), с ремонтом, в ЖК Водный 2015 года постройки. В предлагаемой квартире выполнен дизайнерский ремонт с применением высококачественных материалов и оборудования. Планировка полностью функциональна и включает просторную гостиную из которой вы попадете в кухню, спальню, два санузла (один из которых оборудован ванной из искусственного камня, а другой- душевой системой с тропическим душем), а так же просторной прихожей с вместительным шкафом-купе. Стеклопакеты на всех окнах и лоджии полностью заменены на профиль REHAU. Лоджия просторная, утеплена. Спальня и гостиная оклеены обоями, санузлы - в плитке. Каждый санузел оборудован гигиеническим душем. В квартире дополнительно установлен бойлер. Каждая батарея системы отопления квартиры оборудована терморегулятором и подключена отдельно к центральному стояку, и имеет возможность индивидуального отключения, без остановки работы всей отопительной системы квартиры. В гостиной установлен кондиционер. Кухонный гарнитур заказан, бытовая техника оплачена - на усмотрение покупателя. Соседи закончили делать ремонты. Бонусом к квартире идет кладовая, расположенная на этаже, площадью 1.5 кв.м., так же оформленная в собственность. Вид из окон квартиры-на две стороны: Химкинское водохранилище и город. Данный ЖК расположен в непосредственной близости от метро, по соседству с ТЦ Водный и имеет отдельный вход в ТЦ, через подземный паркинг, без необходимости выходить на улицу. Подземный паркинг ЖК Водный располагается на трех уровнях. Доступ в него-из лифта. Лифты современные, скоростные, марки Shindler. На -2 уровне паркинга есть машино-место, которое так же можно приобрести. В подъезде круглосуточно дежурит консьерж-охранник. Ведется видеонаблюдение за комплексом. За безопасность самой квартиры отвечают металлическая входная дверь высокого класса защиты и домофон, с системой видеонаблюдения. СВОБОДНАЯ ПРОДАЖА. Документы готовы к сделке. ПОКАЗЫ ОПЕРАТИВНО- КЛЮЧИ НА РУКАХ. ТОРГ!",район Головинский,25,26,д.6к4,15 400 000,5,пешком,2,10,"34,4",71,Кронштадтский бул.,м. Водный стадион
,"Москва, район Басманный, Покровский бул., 5С1",Москва,"Номер объекта: 012243. Предлагается 2-х комнатная квартира в Резиденции на Покровском бульваре, 71,3 кв.м. Без отделки. Квартира расположена на 2-ом этаже.",район Басманный,2,7,д.5С1,31 514 600,,,2,,,"71,3",Покровский бул.,м. Чкаловская
,"Москва, район Хамовники, Большой Левшинский пер., 11",Москва,"Номер объекта: 012062. В малоквартирном, современном жилом комплексе Дворянское гнездо, предлагается просторная 4-х комнатная квартира свободной планировки, без отделки. Окна квартиры выходят на две стороны - в переулок, и в красивый внутренний двор. Высокие потолки. Возможность установки дровяного камина. Внутреннее пространство квартиры позволяет спланировать большую гостиную, столовую, кухню, 2-3 спальни. Кол-во стояков - 3.",район Хамовники,3,7,д.11,395 377 500,,,4,,,250,Большой Левшинский пер.,м. Парк Культуры
,"Москва, район Хамовники, 2-я Фрунзенская ул., 8",Москва,"Номер объекта: Х0054. Светлая, 2-х комнатная квартира без отделки, свободной планировки, расположенная в ЖК Андреевский Дом. В квартире 2 больших панорамных окна, балкон. Вид из окон на МГУ.",район Хамовники,9,12,д.8,66 701 766,,,2,,,"70,6",2-я Фрунзенская ул.,м. Фрунзенская
,"Москва, Воскресенское поселение, район Воскресенское, проезд Чечерский",Москва,"Срочно! Продается квартира свободной планировки ! Новое Бутово - современный жилой квартал комфорт-класса состоящий из 15 многоэтажных монолитно-кирпичных и панельных домов, расположенный в перспективном районе Новой Москвы (московская регистрация). В 15 минутах ходьбы от комплекса находится станция метро Бунинская аллея. Квартира свободной планировки, комнаты правильных прямоугольных форм: просторная прихожая с гардеробными нишами, панорамное остекление лоджий. На территории комплекса работает муниципальный детский сад на 375 мест. В 2018 учебном году свои двери для маленьких жителей квартала откроет новый детский сад и школа на 825 мест. В шаговой доступности от комплекса расположены поликлиника, 2 общеобразовательные школы ( 1946, 1980), школа с углублённым изучением информационных технологий ( 1368), гимназия 1786, а также детские сады, развивающие и спортивные центры. К территории квартала примыкает торговый центр Бутово Молл с гипермаркетом Лента и торговой галереей, на территории расположен магазин Пятерочка. Неподалеку находится пруд с оборудованными причалами, благоустроенной береговой линии и огромной территорией для активного отдыха. Летом здесь можно устраивать семейные пикники и заниматься рыбной ловлей, а зимой кататься на коньках. Также в пешей доступности от ЖК Новое Бутово: Битцевский лесопарк, зона отдыха Черневские пруды с прогулочными зонами и несколькими водоёмами, ландшафтный парк Южное Бутово. В каждом дворе обустроены яркие, безопасные детских площадки, выполнено озеленение, вымощены прогулочные дорожки, установлены фонари и скамейки. Вдоль всего жилого квартала устроен бульвар. На территории комплекса возводится 9-ти этажный наземный паркинг на 1075 машиномест, рядом с домами предусмотрены дополнительные открытые стоянки.",Воскресенское поселение,10,17,проезд Чечерский,3 628 730,15,пешком,1,"11,3","15,6","38,7",район Воскресенское,м. Бунинская аллея
,,,,,,,,,,,,,,,,
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012139. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 149,7 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на центральную часть Москвы. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,12,50,д.8,56 000 000,,,4,,,"149,7",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Замоскворечье, Шлюзовая наб., 2А",Москва,"Номер объекта: 012241. Предлагается двухкомнатная квартира 45,1 кв.м в ЖК IM. Квартира с отделкой.Расположена на 6-ом этаже.",район Замоскворечье,6,7,д.2А,19 641 654,,,2,,,"45,1",Шлюзовая наб.,м. Павелецкая
,"Москва, район Замоскворечье, Шлюзовая наб., 2А",Москва,"Номер объекта: 012253. Предлагается уютная квартира студийного типа, площадью 42, 2 кв.м, окна выходят во внутренний двор с красивым ландшафтом.",район Замоскворечье,4,7,д.2А,16 111 116,,,1,,,"42,2",Шлюзовая наб.,м. Павелецкая
,"Москва, район Арбат, ул. Новый Арбат, 27",Москва,"Номер объекта: 012289. Предлагается на продажу 4-х комнатная квартира с высокачественный ремонтом в ЖК Новый Арбат. В квартире удачно расположились кухня, гостиная-столовая, кабинет. Две полностью автономные спальни с гардеробными и с/у, гостевой с/у, кладовое помещение. Мебель на заказ из Италии, встроенная бытовая техника. Окна в переулок.",район Арбат,5,16,д.27,158 151 000,,,4,,,173,ул. Новый Арбат,м. Краснопресненская
,"Москва, район Тверской, 2-я Тверская-Ямская ул., 26",Москва,"Номер объекта: ТВ0156. Красивый пентхаус в стиле арт деко с выходом на эксплуатируемую кровлю площадью 90м, (террасу), из которой открываются прекрасные виды на Москву. На 1-м этаже располагается кухня (техника Miele мебель Kuppersbusch), гостиная (потолок 5м), сигарная комната (со своей системой кондицианирования и усиленной вытяжкой), кабинет, тренажерный зал, 2 с/у, большой холл, хозяйственная комната. На 2-й этаже находятся 2 гостевые спальни с 2 с/у и гардеробной, хозяйская спальня с с/у и гардеробной, кабинетом и комнатой для отдыха. Со второго этажа выход на эксплуатируемую кровлю (террасу). В каждой комнате своя система кондицианирования и вентилирования Рanasonic",район Тверской,9,9,д.26,189 781 200,,,,,,"383,5",2-я Тверская-Ямская ул.,м. Маяковская
,"Москва, район Тверской, Страстной бул., 10",Москва,"Номер объекта: ТВ0098. Стильная, полностью готовая к проживанию квартира с эксклюзивным дизайнерским ремонтом в минимализме. Изумительное архитектурное решение пространства квартиры. Просторная гостиная, кухня-столовая и кабинет при желании объединяются в одно общее гостевое пространство, а при необходимости разделяются на абсолютно изолированные зоны! Гостевой с/у - одна из достопримечательностей квартиры. Хозяйская зона представлена 2 детскими спальнями и master-bedroom со своей гардеробной и ванной комнатой в очень оригинальном исполнении! В отделке использованы исключительно натуральные, дорогостоящие материалы. Квартира полностью меблирована и укомплектована техникой от ведущих мировых производителей",район Тверской,5,10,д.10,219 513 588,,,5,,,176,Страстной бул.,м. Чеховская
,"Москва, район Раменки, Мосфильмовская ул., 88к2с4",Москва,"Предлагается квартира площадью 153 кв.м. Евроремонт. Планировка: кухня столовая, две спальные комнаты, гардеробная, холл, три с/у. Пять окон немецкой фирмы Sсhuco. Два окна с выходом на балкон. Подземный трехуровневый паркинг жилого комплекса расположен на -1 , -2 и -3 этажах. На -1 и -2 уровнях имеются машино места с системой клаус. На -3 уровне есть возможность установки данной системы. Грузовые лифты спускаются на все уровни парковки. На -1 уровне паркинга расположена автомобильная мойка. В комплексе установлены скоростные бесшумные лифты фирмы Otis. Входные группы расположены со стороны двора. В отделке использовались экологически чистые материалы. Отделаны мрамором и гранитом. В каждой подъезде предусмотрены: консьерж служба, зона отдыха для жителей и их гостей, техническое помещение для колясок, велосипедов и тд. На каждом этаже расположены кладовые.",район Раменки,3,21,д.88к2с4,45 000 000,5,пешком,2,16,85,153,Мосфильмовская ул.,м. Раменки
,"Москва, район Очаково-Матвеевское, Нежинская ул., 1к1",Москва,"Номер объекта: ЗА0261. Предлагаются двухуровневые апартаменты площадью 442 м2. Панорамные окна выходят на реку Сетунь. Высота потолков на всех уровнях-3,0м",район Очаково-Матвеевское,29,31,д.1к1,335 533 162,,,4,,,442,Нежинская ул.,м. Славянский бульвар
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012142. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 164,4 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на киностудию Мосфильм и на МГУ. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,45,50,д.8,74 000 000,,,4,,,"164,4",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Арбат, ул. Новый Арбат, 27",Москва,"Номер объекта: 012029. Предлагается на продажу 4-х комнатная квартира свободной планировки. По проекту возможно расположить три спальни, кабинет, гостиную-столовую, кухню, 3 с/у, постирочную, кладовку. Квартира ровной прямоугольной формы с 6-ю окнами в пол. Спальни выходят в сторону набережной, МГУ и старого центраю Кабинет, гостиная и кухня на Новый Арбат, МИД, Дом Правительства, Москва-Сити и набережную. На этаже всего две квартиры. Возможно приобрести м/м в подземном паркинге.",район Арбат,13,16,д.27,119 000 000,,,4,,,"184,3",ул. Новый Арбат,м. Краснопресненская
